,Epoch,Training Loss,Validation Loss,F1,Model
109,54,0.4687,0.4156334698200226,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
110,54,0.4793,0.4155271649360657,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
111,55,0.4793,0.4155271649360657,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
112,55,0.4859,0.4154234528541565,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
113,56,0.4859,0.4154234528541565,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
114,56,0.4741,0.4153297245502472,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
115,57,0.4741,0.4153297245502472,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
116,57,0.4801,0.4152480363845825,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
117,58,0.4801,0.4152480363845825,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
118,58,0.4831,0.4151780903339386,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
119,59,0.4831,0.4151780903339386,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
120,59,0.4751,0.4151032567024231,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
121,60,0.4751,0.4151032567024231,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
122,60,0.4795,0.41504597663879395,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
123,61,0.4795,0.41504597663879395,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
124,61,0.4751,0.41498780250549316,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
125,62,0.4751,0.41498780250549316,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
126,62,0.4849,0.41495150327682495,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
127,63,0.4791,0.41495150327682495,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
129,64,0.4762,0.4148835241794586,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
131,65,0.4788,0.4133932590484619,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
133,66,0.4766,0.40537935495376587,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
135,67,0.4632,0.3719676733016968,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
137,68,0.4154,0.3372134566307068,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
139,69,0.3858,0.32739967107772827,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
141,70,0.3723,0.32785266637802124,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
