,Epoch,Training Loss,Validation Loss,F1,Model
0,1,0.4314,0.23763501644134521,0.13653438514583166,sc_1_ds_ori_linear_e15_ld01_b64_wF
2,2,0.168,0.18244996666908264,0.3100483046325188,sc_1_ds_ori_linear_e15_ld01_b64_wF
4,3,0.113,0.16173210740089417,0.37333183385814966,sc_1_ds_ori_linear_e15_ld01_b64_wF
6,4,0.0716,0.15820477902889252,0.4666225354205377,sc_1_ds_ori_linear_e15_ld01_b64_wF
8,5,0.0493,0.17056021094322205,0.48755157863907206,sc_1_ds_ori_linear_e15_ld01_b64_wF
10,6,0.0364,0.17509882152080536,0.4915665697955866,sc_1_ds_ori_linear_e15_ld01_b64_wF
12,7,0.0263,0.18735186755657196,0.4986733302129415,sc_1_ds_ori_linear_e15_ld01_b64_wF
14,8,0.0183,0.20096077024936676,0.4966023774068316,sc_1_ds_ori_linear_e15_ld01_b64_wF
16,9,0.0144,0.19647692143917084,0.5121904087704362,sc_1_ds_ori_linear_e15_ld01_b64_wF
18,10,0.0098,0.20196205377578735,0.504114506214385,sc_1_ds_ori_linear_e15_ld01_b64_wF
20,11,0.0084,0.20701450109481812,0.5037701654317038,sc_1_ds_ori_linear_e15_ld01_b64_wF
22,12,0.0067,0.20989778637886047,0.5148179978321615,sc_1_ds_ori_linear_e15_ld01_b64_wF
24,13,0.0056,0.2130459100008011,0.5170734042628281,sc_1_ds_ori_linear_e15_ld01_b64_wF
26,14,0.005,0.21544702351093292,0.5065733467911498,sc_1_ds_ori_linear_e15_ld01_b64_wF
28,15,0.0051,0.2161852866411209,0.5027105177327887,sc_1_ds_ori_linear_e15_ld01_b64_wF
0,1,0.616,0.25522541999816895,0.06150440123042863,sc_10_ds_down_linear_e15_ld01_b64_wF
2,2,0.2489,0.19782713055610657,0.23462517387580198,sc_10_ds_down_linear_e15_ld01_b64_wF
4,3,0.1772,0.1702330857515335,0.3299829789035698,sc_10_ds_down_linear_e15_ld01_b64_wF
6,4,0.1229,0.15534688532352448,0.4139983871257707,sc_10_ds_down_linear_e15_ld01_b64_wF
8,5,0.0871,0.17143703997135162,0.43924233314553124,sc_10_ds_down_linear_e15_ld01_b64_wF
10,6,0.0685,0.16841894388198853,0.48772441153650115,sc_10_ds_down_linear_e15_ld01_b64_wF
12,7,0.0442,0.18032605946063995,0.4948340082668441,sc_10_ds_down_linear_e15_ld01_b64_wF
14,8,0.0346,0.18285176157951355,0.5085232325228374,sc_10_ds_down_linear_e15_ld01_b64_wF
16,9,0.0284,0.18825744092464447,0.5082256199277476,sc_10_ds_down_linear_e15_ld01_b64_wF
18,10,0.021,0.19529546797275543,0.511229289454804,sc_10_ds_down_linear_e15_ld01_b64_wF
20,10,0.0156,0.20448525249958038,0.5169270093266428,sc_10_ds_down_linear_e15_ld01_b64_wF
21,11,0.0156,0.20448525249958038,0.5169270093266428,sc_10_ds_down_linear_e15_ld01_b64_wF
22,11,0.0141,0.2017410695552826,0.5113774525604954,sc_10_ds_down_linear_e15_ld01_b64_wF
23,12,0.0141,0.2017410695552826,0.5113774525604954,sc_10_ds_down_linear_e15_ld01_b64_wF
24,12,0.0114,0.2025163173675537,0.5129017289368035,sc_10_ds_down_linear_e15_ld01_b64_wF
25,13,0.0114,0.2025163173675537,0.5129017289368035,sc_10_ds_down_linear_e15_ld01_b64_wF
26,13,0.0099,0.20554471015930176,0.5177121497093299,sc_10_ds_down_linear_e15_ld01_b64_wF
27,14,0.0099,0.20554471015930176,0.5177121497093299,sc_10_ds_down_linear_e15_ld01_b64_wF
28,14,0.0094,0.2055848240852356,0.5163385747859072,sc_10_ds_down_linear_e15_ld01_b64_wF
29,15,0.0094,0.2055848240852356,0.5163385747859072,sc_10_ds_down_linear_e15_ld01_b64_wF
0,1,1.6382,1.380666971206665,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
2,2,1.3662,1.2501221895217896,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
4,3,1.2741,1.1488721370697021,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
6,4,1.1858,1.0455412864685059,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
8,5,1.0964,0.9431470036506653,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
10,6,1.0119,0.8435232639312744,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
12,7,0.9249,0.7510630488395691,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
14,8,0.8549,0.667899489402771,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
16,9,0.7809,0.5968142151832581,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
18,10,0.7297,0.5381474494934082,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
20,10,0.6786,0.4925840497016907,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
21,11,0.6786,0.4925840497016907,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
22,11,0.6483,0.4593740999698639,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
23,12,0.6483,0.4593740999698639,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
24,12,0.5967,0.4381028413772583,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
25,13,0.5967,0.4381028413772583,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
26,13,0.5937,0.42405396699905396,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
27,14,0.5937,0.42405396699905396,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
28,14,0.579,0.37981876730918884,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
29,15,0.579,0.37981876730918884,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
30,15,0.5336,0.3011611998081207,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
31,16,0.5336,0.3011611998081207,0.0,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
32,16,0.4346,0.26943886280059814,0.05751633986928104,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
33,17,0.4346,0.26943886280059814,0.05751633986928104,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
34,17,0.3858,0.2612133026123047,0.13553152501763302,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
35,18,0.3858,0.2612133026123047,0.13553152501763302,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
36,18,0.3413,0.24668151140213013,0.085952189094816,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
37,19,0.3413,0.24668151140213013,0.085952189094816,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
38,19,0.3203,0.2444978654384613,0.08386943054562783,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
39,20,0.3203,0.2444978654384613,0.08386943054562783,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
40,20,0.2968,0.24452903866767883,0.0772748056698674,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
41,21,0.2763,0.24452903866767883,0.0772748056698674,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
43,22,0.2643,0.24617107212543488,0.08079470198675498,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
45,23,0.2533,0.24617967009544373,0.07891332470892626,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
47,24,0.2396,0.247429758310318,0.08224213186308293,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
49,25,0.2324,0.24195930361747742,0.08293148737793557,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
51,26,0.2245,0.23208802938461304,0.16474336177701285,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
53,27,0.2191,0.23654146492481232,0.14174785482835017,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
55,28,0.2098,0.2342635840177536,0.1876202455702203,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
57,29,0.1994,0.2398843765258789,0.18499317504734383,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
59,30,0.1913,0.2431643307209015,0.21102536104398698,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
61,31,0.1954,0.24491503834724426,0.21259022834414773,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
63,32,0.1885,0.2438959777355194,0.24065811580758825,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
65,32,0.1809,0.24092313647270203,0.2519227169516493,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
66,33,0.1809,0.24092313647270203,0.2519227169516493,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
67,33,0.1867,0.2397918850183487,0.2514727396141013,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
68,34,0.1867,0.2397918850183487,0.2514727396141013,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
69,34,0.1746,0.24001957476139069,0.25381394932402185,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
70,35,0.1746,0.24001957476139069,0.25381394932402185,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
71,35,0.1763,0.24974815547466278,0.24424013225507646,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
72,36,0.1763,0.24974815547466278,0.24424013225507646,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
73,36,0.1775,0.24724918603897095,0.24025786714712014,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
74,37,0.1775,0.24724918603897095,0.24025786714712014,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
75,37,0.1705,0.24202752113342285,0.25939841264518065,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
76,38,0.1705,0.24202752113342285,0.25939841264518065,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
77,38,0.1687,0.2466190904378891,0.25281530206717767,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
78,39,0.1687,0.2466190904378891,0.25281530206717767,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
79,39,0.1749,0.2420969009399414,0.2641856533661752,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
80,40,0.1749,0.2420969009399414,0.2641856533661752,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
81,40,0.1606,0.24487128853797913,0.2709807361946743,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
82,41,0.1606,0.24487128853797913,0.2709807361946743,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
83,41,0.1709,0.2530791759490967,0.24672852587200378,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
84,42,0.1627,0.2530791759490967,0.24672852587200378,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
86,43,0.1637,0.24417787790298462,0.27371774975283314,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
88,44,0.16,0.24572394788265228,0.27088236073502725,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
90,45,0.1617,0.2443135678768158,0.2824035379517645,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
92,46,0.1587,0.24513429403305054,0.2914767874911717,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
94,47,0.164,0.24579152464866638,0.28420554584684266,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
96,48,0.1619,0.24684713780879974,0.2869589767462333,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
98,49,0.155,0.24803660809993744,0.28650626354882247,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
100,50,0.1612,0.24758119881153107,0.2906853469054426,sc_100_ds_down_additional_linear_e50_ld01_b64_wF
0,1,1.5751,1.3063441514968872,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
2,2,1.2795,1.1861016750335693,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
4,3,1.1819,1.1043967008590698,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
6,4,1.1104,1.0331121683120728,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
8,5,1.0462,0.9693408608436584,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
10,6,0.9851,0.9109381437301636,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
12,7,0.936,0.8562089204788208,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
14,8,0.8842,0.8043451309204102,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
16,9,0.838,0.7569899559020996,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
18,10,0.7957,0.7145828008651733,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
20,10,0.7521,0.676531970500946,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
21,11,0.7521,0.676531970500946,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
22,11,0.7268,0.6424410939216614,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
23,12,0.7268,0.6424410939216614,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
24,12,0.6927,0.6119434833526611,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
25,13,0.6927,0.6119434833526611,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
26,13,0.6578,0.5847036838531494,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
27,14,0.6578,0.5847036838531494,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
28,14,0.6374,0.5604843497276306,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
29,15,0.6374,0.5604843497276306,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
30,15,0.624,0.5390257239341736,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
31,16,0.624,0.5390257239341736,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
32,16,0.5969,0.5200796127319336,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
33,17,0.5969,0.5200796127319336,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
34,17,0.5743,0.5034418702125549,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
35,18,0.5743,0.5034418702125549,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
36,18,0.5684,0.48894867300987244,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
37,19,0.5684,0.48894867300987244,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
38,19,0.5504,0.47643762826919556,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
39,20,0.5504,0.47643762826919556,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
40,20,0.5391,0.466043621301651,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
41,21,0.5232,0.466043621301651,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
43,22,0.5178,0.45770063996315,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
45,23,0.5162,0.4511604905128479,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
47,24,0.5099,0.4458830654621124,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
49,25,0.516,0.4416618347167969,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
51,26,0.4972,0.43805548548698425,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
53,27,0.4983,0.43505337834358215,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
55,28,0.4894,0.4324927031993866,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
57,29,0.5026,0.43036094307899475,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
59,30,0.4849,0.42847636342048645,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
61,31,0.5062,0.42694544792175293,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
63,32,0.4749,0.42553943395614624,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
65,32,0.4972,0.4243569076061249,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
66,33,0.4972,0.4243569076061249,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
67,33,0.4772,0.42326611280441284,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
68,34,0.4772,0.42326611280441284,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
69,34,0.4927,0.4223687946796417,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
70,35,0.4927,0.4223687946796417,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
71,35,0.4771,0.42156296968460083,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
72,36,0.4771,0.42156296968460083,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
73,36,0.4814,0.42083191871643066,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
74,37,0.4814,0.42083191871643066,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
75,37,0.4907,0.4201919436454773,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
76,38,0.4907,0.4201919436454773,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
77,38,0.4767,0.41960424184799194,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
78,39,0.4767,0.41960424184799194,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
79,39,0.4918,0.41912752389907837,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
80,40,0.4918,0.41912752389907837,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
81,40,0.4805,0.4186781346797943,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
82,41,0.4805,0.4186781346797943,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
83,41,0.4809,0.41826331615448,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
84,42,0.4771,0.41826331615448,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
86,43,0.4808,0.4179030656814575,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
88,44,0.4806,0.41758063435554504,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
90,45,0.4854,0.4172879755496979,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
92,46,0.4827,0.4170355796813965,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
94,47,0.4857,0.4167923033237457,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
96,48,0.4808,0.4165818989276886,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
98,49,0.4767,0.4163750410079956,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
100,50,0.4728,0.4161929488182068,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
102,51,0.4936,0.4160369038581848,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
104,52,0.4779,0.41588571667671204,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
106,52,0.4883,0.4157690703868866,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
107,53,0.4883,0.4157690703868866,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
108,53,0.4687,0.4156334698200226,0.0,sc_101_ds_down_lstm_e70_ld01_b64_wF
